id,package,cover,size,cover_cost,cost_per_page,status
,Black and White Packages,B&W Paperback,5 x 8,1.12,0.0123,
,Black and White Packages,B&W Paperback,6 x 9,1.12,0.0123,
,Black and White Packages,B&W Paperback,8.5 x 11,1.12,0.0181,
,Black and White Packages,B&W Hardcover,5 x 8,5.68,0.0123,
,Black and White Packages,B&W Hardcover,6 x 9,5.68,0.0123,
,Black and White Packages,B&W Hardcover,8.5 x 11,5.68,0.0181,
,Iron Full Color,Standard Paperback,5 x 8,1.12,0.0316,
,Iron Full Color,Standard Paperback,6 x 9,1.12,0.0316,
,Iron Full Color,Standard Paperback,8.5 x 11,1.12,0.0503,
,Iron Full Color,Standard Hardcover,5 x 8,5.68,0.0316,
,Iron Full Color,Standard Hardcover,6 x 9,5.68,0.0316,
,Iron Full Color,Standard Hardcover,8.5 x 11,5.68,0.0503,
,Bronze Full Color,Standard Paperback,5 x 8,1.12,0.0316,
,Bronze Full Color,Standard Paperback,6 x 9,1.12,0.0316,
,Bronze Full Color,Standard Paperback,8.5 x 11,1.12,0.0503,
,Bronze Full Color,Standard Hardcover,5 x 8,5.68,0.0316,
,Bronze Full Color,Standard Hardcover,6 x 9,5.68,0.0316,
,Bronze Full Color,Standard Hardcover,8.5 x 11,5.68,0.0503,
,Silver Full Color,Standard Paperback,5 x 8,1.12,0.0316,
,Silver Full Color,Standard Paperback,6 x 9,1.12,0.0316,
,Silver Full Color,Standard Paperback,8.5 x 11,1.12,0.0503,
,Silver Full Color,Standard Hardcover,5 x 8,5.68,0.0316,
,Silver Full Color,Standard Hardcover,6 x 9,5.68,0.0316,
,Silver Full Color,Standard Hardcover,8.5 x 11,5.68,0.0503,
,Folklore,Standard Paperback,5 x 8,1.12,0.0316,
,Folklore,Standard Paperback,6 x 9,1.12,0.0316,
,Folklore,Standard Paperback,8.5 x 11,1.12,0.0503,
,Folklore,Standard Hardcover,5 x 8,5.68,0.0316,
,Folklore,Standard Hardcover,6 x 9,5.68,0.0316,
,Folklore,Standard Hardcover,8.5 x 11,5.68,0.0503,
,Fairytale,Standard Paperback,5 x 8,1.12,0.0316,
,Fairytale,Standard Paperback,6 x 9,1.12,0.0316,
,Fairytale,Standard Paperback,8.5 x 11,1.12,0.0503,
,Fairytale,Standard Hardcover,5 x 8,5.68,0.0316,
,Fairytale,Standard Hardcover,6 x 9,5.68,0.0316,
,Fairytale,Standard Hardcover,8.5 x 11,5.68,0.0503,
,Gold Full Color,Premuim Paperback,5 x 8,1.12,0.0676,
,Gold Full Color,Premuim Paperback,6 x 9,1.12,0.0676,
,Gold Full Color,Premuim Paperback,8.5 x 11,1.12,0.0905,
,Gold Full Color,Premuim Hardcover,5 x 8,5.68,0.0676,
,Gold Full Color,Premuim Hardcover,6 x 9,5.68,0.0676,
,Gold Full Color,Premuim Hardcover,8.5 x 11,5.68,0.0905,
,Platinum Full Color,Premuim Paperback,5 x 8,1.12,0.0676,
,Platinum Full Color,Premuim Paperback,6 x 9,1.12,0.0676,
,Platinum Full Color,Premuim Paperback,8.5 x 11,1.12,0.0905,
,Platinum Full Color,Premuim Hardcover,5 x 8,5.68,0.0676,
,Platinum Full Color,Premuim Hardcover,6 x 9,5.68,0.0676,
,Platinum Full Color,Premuim Hardcover,8.5 x 11,5.68,0.0905,
,Fantasy,Premuim Paperback,5 x 8,1.12,0.0676,
,Fantasy,Premuim Paperback,6 x 9,1.12,0.0676,
,Fantasy,Premuim Paperback,8.5 x 11,1.12,0.0905,
,Fantasy,Premuim Hardcover,5 x 8,5.68,0.0676,
,Fantasy,Premuim Hardcover,6 x 9,5.68,0.0676,
,Fantasy,Premuim Hardcover,8.5 x 11,5.68,0.0905,
